date,open,high,low,close,volume,average,barCount
2025-01-07 09:30:00-05:00,405.81,406.84,404.8,405.9,625620.0,405.803,1607
2025-01-07 09:31:00-05:00,405.84,408.8,404.5,407.84,422544.0,406.866,1962
2025-01-07 09:32:00-05:00,407.94,409.13,406.18,409.01,286966.0,407.875,1418
2025-01-07 09:33:00-05:00,409.12,409.4,407.2,409.11,258492.0,408.39,1324
2025-01-07 09:34:00-05:00,409.11,409.69,408.0,409.6,271163.0,409.035,1267
2025-01-07 09:35:00-05:00,409.64,409.74,407.1,408.57,259211.0,408.469,1344
2025-01-07 09:36:00-05:00,408.78,408.91,406.12,407.09,196060.0,407.249,966
2025-01-07 09:37:00-05:00,407.09,410.29,406.8,410.15,358867.0,408.783,1630
2025-01-07 09:38:00-05:00,410.22,410.43,407.95,408.59,279177.0,409.427,1281
2025-01-07 09:39:00-05:00,408.51,408.99,406.5,407.52,226213.0,407.434,1098
2025-01-07 09:40:00-05:00,407.56,408.62,406.26,408.53,210943.0,407.541,1042
2025-01-07 09:41:00-05:00,408.45,411.59,408.16,411.31,386833.0,410.025,1958
2025-01-07 09:42:00-05:00,411.38,412.57,411.0,411.98,369899.0,411.777,1761
2025-01-07 09:43:00-05:00,411.9,413.36,411.87,413.29,339833.0,412.653,1518
2025-01-07 09:44:00-05:00,413.33,413.39,412.2,413.39,268464.0,412.828,1356
2025-01-07 09:45:00-05:00,413.33,414.33,412.9,413.7,355748.0,413.611,1812
2025-01-07 09:46:00-05:00,413.75,413.87,411.73,412.18,312503.0,412.633,1497
2025-01-07 09:47:00-05:00,412.1,412.6,410.8,411.12,242197.0,411.776,1180
2025-01-07 09:48:00-05:00,411.23,412.08,410.19,410.3,204079.0,411.133,928
2025-01-07 09:49:00-05:00,410.3,410.43,409.01,409.45,288139.0,409.677,1356
2025-01-07 09:50:00-05:00,409.46,410.06,407.7,408.42,248486.0,408.658,1239
2025-01-07 09:51:00-05:00,408.41,409.9,408.27,408.93,244145.0,409.304,1145
2025-01-07 09:52:00-05:00,408.88,409.71,408.48,409.54,144500.0,409.175,661
2025-01-07 09:53:00-05:00,409.47,409.7,408.1,408.31,174538.0,409.131,918
2025-01-07 09:54:00-05:00,408.44,409.14,408.0,408.82,141624.0,408.581,680
2025-01-07 09:55:00-05:00,408.67,409.7,408.59,409.41,131044.0,409.257,660
2025-01-07 09:56:00-05:00,409.6,409.7,408.08,408.08,128243.0,408.877,600
2025-01-07 09:57:00-05:00,408.08,408.16,406.4,407.49,279510.0,407.241,1185
2025-01-07 09:58:00-05:00,407.41,408.21,406.45,407.23,164036.0,407.229,789
2025-01-07 09:59:00-05:00,407.23,408.29,406.65,407.73,164475.0,407.553,709
2025-01-07 10:00:00-05:00,407.68,407.87,405.71,405.73,220707.0,406.595,944
2025-01-07 10:01:00-05:00,405.96,406.06,403.18,403.3,433644.0,404.624,1924
2025-01-07 10:02:00-05:00,403.28,404.77,402.3,404.5,402867.0,403.346,1612
2025-01-07 10:03:00-05:00,404.43,404.88,403.12,404.1,200073.0,403.78,949
2025-01-07 10:04:00-05:00,403.92,404.04,400.99,401.01,448573.0,402.178,1849
2025-01-07 10:05:00-05:00,401.05,402.07,400.25,401.94,423386.0,401.136,1852
2025-01-07 10:06:00-05:00,401.97,403.18,401.3,401.45,256301.0,402.42,1212
2025-01-07 10:07:00-05:00,401.49,402.0,400.03,400.9,376851.0,400.602,1466
2025-01-07 10:08:00-05:00,400.89,401.8,399.27,400.53,449604.0,400.53,1743
2025-01-07 10:09:00-05:00,400.49,400.89,397.81,398.36,502442.0,398.789,2049
2025-01-07 10:10:00-05:00,398.36,399.46,397.4,398.24,399045.0,398.422,1626
2025-01-07 10:11:00-05:00,398.25,400.09,398.11,399.36,284291.0,399.284,1301
2025-01-07 10:12:00-05:00,399.33,400.0,398.32,398.92,200758.0,399.265,1088
2025-01-07 10:13:00-05:00,398.93,399.81,398.56,399.02,154697.0,399.247,808
2025-01-07 10:14:00-05:00,399.04,400.18,398.9,399.88,235581.0,399.479,1017
2025-01-07 10:15:00-05:00,399.8,400.49,398.17,398.73,313361.0,399.24,1335
2025-01-07 10:16:00-05:00,398.58,398.88,396.44,396.6,399930.0,397.422,1789
2025-01-07 10:17:00-05:00,396.61,397.31,395.64,395.96,370597.0,396.33,1562
2025-01-07 10:18:00-05:00,395.94,396.36,395.42,395.56,264917.0,395.893,1309
2025-01-07 10:19:00-05:00,395.75,397.0,395.38,396.91,385984.0,396.049,1627
2025-01-07 10:20:00-05:00,396.89,397.63,395.86,397.04,342343.0,396.76,1314
2025-01-07 10:21:00-05:00,397.09,398.5,396.84,397.89,420522.0,397.737,1665
2025-01-07 10:22:00-05:00,397.7,398.35,397.36,398.22,182378.0,397.771,796
2025-01-07 10:23:00-05:00,398.3,399.37,397.96,398.57,247392.0,398.742,983
2025-01-07 10:24:00-05:00,398.58,399.35,398.13,399.16,134192.0,398.781,569
2025-01-07 10:25:00-05:00,399.21,400.17,399.0,399.62,315905.0,399.796,1351
2025-01-07 10:26:00-05:00,399.63,400.18,399.17,399.91,151608.0,399.791,648
2025-01-07 10:27:00-05:00,399.91,400.16,398.77,398.89,210697.0,399.285,969
2025-01-07 10:28:00-05:00,398.93,398.97,397.09,397.79,235089.0,397.922,875
2025-01-07 10:29:00-05:00,397.77,398.39,396.44,396.67,190982.0,397.048,772
2025-01-07 10:30:00-05:00,396.67,396.89,394.43,394.61,349205.0,395.454,1622
2025-01-07 10:31:00-05:00,394.72,394.83,393.75,394.03,351689.0,394.272,1473
2025-01-07 10:32:00-05:00,394.08,394.99,392.77,393.95,437718.0,393.959,1543
2025-01-07 10:33:00-05:00,393.84,394.5,393.53,393.72,183581.0,393.973,771
2025-01-07 10:34:00-05:00,393.65,394.52,392.93,393.78,189128.0,393.609,841
2025-01-07 10:35:00-05:00,393.56,394.24,392.61,392.82,298673.0,393.284,1081
2025-01-07 10:36:00-05:00,392.9,393.49,392.66,393.35,197446.0,393.04,683
2025-01-07 10:37:00-05:00,393.37,394.48,393.21,393.55,200024.0,393.876,829
2025-01-07 10:38:00-05:00,393.45,393.63,392.43,392.72,281500.0,392.929,1035
2025-01-07 10:39:00-05:00,392.86,392.98,391.5,391.87,399731.0,391.999,1508
2025-01-07 10:40:00-05:00,392.11,393.56,391.85,392.14,248327.0,392.615,985
2025-01-07 10:41:00-05:00,392.09,392.9,391.89,392.75,153313.0,392.348,777
2025-01-07 10:42:00-05:00,392.81,393.02,391.96,392.18,127863.0,392.331,580
2025-01-07 10:43:00-05:00,392.25,393.4,392.17,393.29,155150.0,392.805,711
2025-01-07 10:44:00-05:00,393.21,393.55,392.62,393.44,120561.0,393.153,643
2025-01-07 10:45:00-05:00,393.37,393.37,392.28,393.08,152976.0,392.849,710
2025-01-07 10:46:00-05:00,393.14,393.6,392.48,392.55,121385.0,392.804,598
2025-01-07 10:47:00-05:00,392.55,392.8,391.2,392.29,205149.0,391.905,927
2025-01-07 10:48:00-05:00,392.3,393.07,392.02,392.88,121278.0,392.64,559
2025-01-07 10:49:00-05:00,392.95,393.89,392.83,393.63,138506.0,393.438,652
2025-01-07 10:50:00-05:00,393.6,394.75,393.4,394.6,204647.0,394.128,917
2025-01-07 10:51:00-05:00,394.67,394.94,394.18,394.44,193835.0,394.533,943
2025-01-07 10:52:00-05:00,394.46,395.51,394.33,395.51,246067.0,394.98,964
2025-01-07 10:53:00-05:00,395.44,395.85,395.0,395.31,151516.0,395.572,695
